Date,Open,High,Low,Close,Adj Close,Volume
2021-05-11,60.230000,60.438999,59.900002,60.290001,58.901436,21300
2021-05-12,59.849998,60.029999,59.070000,59.150002,57.787689,27200
2021-05-13,59.349998,59.985001,59.349998,59.875000,58.495991,2900
2021-05-14,60.261002,60.799999,60.261002,60.776001,59.376244,4000
2021-05-17,60.759998,60.759998,60.369999,60.660000,59.262917,7400
2021-05-18,60.680000,60.680000,60.130001,60.130001,58.745125,5100
2021-05-19,59.439999,59.950001,59.241001,59.942001,58.561451,23500
2021-05-20,60.099998,60.660000,60.099998,60.535000,59.140793,5700
2021-05-21,60.930000,60.930000,60.514999,60.550999,59.156418,10100
2021-05-24,60.759998,61.290001,60.759998,61.020000,59.614624,9700
2021-05-25,61.169998,61.310001,60.919998,60.919998,59.516922,32000
2021-05-26,61.270000,61.270000,60.955002,61.110001,59.702553,13000
2021-05-27,61.389999,61.389999,61.061001,61.189999,59.780712,19100
2021-05-28,61.209999,61.349998,61.180000,61.189999,59.780712,17500
2021-06-01,61.470001,61.529999,61.090000,61.110001,59.702553,54300
2021-06-02,61.169998,61.380001,61.160000,61.237999,59.827599,2600
2021-06-03,60.900002,61.189999,60.849998,61.130001,59.722092,6900
2021-06-04,61.540001,61.650002,61.480000,61.601002,60.182243,6900
2021-06-07,61.720001,61.720001,61.451000,61.584999,60.166607,7000
2021-06-08,61.900002,61.900002,61.430000,61.596001,60.177364,5600
2021-06-09,61.730000,61.730000,61.480000,61.500000,60.083569,6000
2021-06-10,61.939999,61.939999,61.709999,61.799999,60.376652,7700
2021-06-11,61.875000,61.919998,61.689999,61.919998,60.493889,12700
2021-06-14,61.770000,61.939999,61.700001,61.939999,60.513435,6200
2021-06-15,62.000000,62.000000,61.855000,61.894001,60.468491,2400
2021-06-16,62.000000,62.000000,61.310001,61.590000,60.171490,15500
2021-06-17,61.470001,61.659000,61.275002,61.550999,60.133389,2700
2021-06-18,60.929001,61.060001,60.770000,60.790001,59.389927,10200
2021-06-21,61.189999,61.610001,61.189999,61.610001,60.191032,4100
2021-06-22,61.799999,61.974998,61.770000,61.931000,60.504646,7400
2021-06-23,61.880001,61.999001,61.740002,61.740002,60.318047,17800
2021-06-24,61.970001,62.080002,61.919998,61.993000,60.738354,25300
2021-06-25,62.150002,62.240002,62.147999,62.240002,60.980358,5400
2021-06-28,62.299999,62.334999,62.105000,62.327000,61.065594,20400
2021-06-29,62.410000,62.520000,62.356998,62.389999,61.127319,3700
2021-06-30,62.355000,62.520000,62.311001,62.500000,61.235092,29700
2021-07-01,62.410000,62.770000,62.410000,62.689999,61.421249,13000
2021-07-02,63.000000,63.250000,62.930000,63.250000,61.969917,6900
2021-07-06,63.299999,63.299999,62.830002,63.200001,61.920929,5200
2021-07-07,63.400002,63.450001,63.062000,63.425999,62.142353,4900
2021-07-08,62.599998,63.009998,62.490002,62.889999,61.617199,10800
2021-07-09,63.240002,63.599998,63.240002,63.570999,62.284416,15700
2021-07-12,63.840000,63.840000,63.599998,63.778000,62.487228,5500
2021-07-13,63.750000,63.900002,63.541000,63.541000,62.255028,4000
2021-07-14,63.910000,63.910000,63.490002,63.629002,62.341244,14600
2021-07-15,63.305000,63.520000,63.200001,63.418999,62.135498,7400
2021-07-16,63.580002,63.580002,62.970001,63.009998,61.734776,5700
2021-07-19,62.400002,62.400002,61.599998,62.009998,60.755009,13900
2021-07-20,62.230000,63.099998,62.080002,62.970001,61.695583,9000
2021-07-21,63.220001,63.480000,63.189999,63.480000,62.195263,15400
2021-07-22,63.459999,63.555000,63.430000,63.555000,62.268745,4200
2021-07-23,63.799999,64.250000,63.799999,64.150002,62.851700,3300
2021-07-26,64.029999,64.341003,64.029999,64.341003,63.038841,3700
2021-07-27,64.059998,64.120003,63.689999,64.089996,62.792912,19000
2021-07-28,64.037003,64.180000,64.037003,64.084999,62.788013,2600
2021-07-29,64.325996,64.419998,64.253998,64.253998,62.953590,2700
2021-07-30,63.919998,63.919998,63.768002,63.768002,62.477436,2900
2021-08-02,64.000999,64.000999,63.619999,63.627998,62.340263,3700
2021-08-03,63.729000,64.140999,63.660999,64.140999,62.842888,8600
2021-08-04,64.000000,64.021004,63.879002,63.879002,62.586189,2500
2021-08-05,64.150002,64.236000,64.129997,64.236000,62.935955,18400
2021-08-06,64.365997,64.470001,64.300003,64.373001,63.070190,6400
2021-08-09,64.309998,64.419998,64.245003,64.339996,63.037849,18300
2021-08-10,64.339996,64.430000,64.291000,64.324997,63.023163,3000
2021-08-11,64.570000,64.570000,64.473000,64.529999,63.224014,5900
2021-08-12,64.559998,64.745003,64.464996,64.742996,63.432693,3900
2021-08-13,64.959999,64.959999,64.790001,64.821999,63.510094,3800
2021-08-16,64.639999,65.056999,64.500000,64.989998,63.674694,2800
2021-08-17,64.730003,64.739998,64.489998,64.660004,63.351379,3000
2021-08-18,64.389999,64.610001,63.889999,63.894001,62.600880,10200
2021-08-19,63.639999,64.180000,63.639999,63.922001,62.628319,11600
2021-08-20,64.120003,64.529999,64.120003,64.529999,63.224014,4700
2021-08-23,64.883003,65.169998,64.883003,65.039001,63.722710,3800
2021-08-24,65.208000,65.290001,65.158997,65.158997,63.840279,3000
2021-08-25,65.169998,65.389999,65.169998,65.334000,64.011742,10700
2021-08-26,65.430000,65.430000,64.915001,64.980003,63.664902,11000
2021-08-27,65.360001,65.586998,65.360001,65.550003,64.223366,9600
2021-08-30,65.720001,65.904999,65.720001,65.830002,64.497696,3200
2021-08-31,65.820000,65.830002,65.635002,65.675003,64.345840,11900
2021-09-01,65.989998,65.989998,65.684998,65.739998,64.409523,7100
2021-09-02,66.070000,66.070000,65.709999,65.900002,64.566284,7600
2021-09-03,65.735001,65.927002,65.681999,65.839996,64.507500,5800
2021-09-07,66.099998,66.099998,65.551003,65.629997,64.301750,7500
2021-09-08,65.720001,65.720001,65.300003,65.459999,64.135185,2900
2021-09-09,65.680000,65.680000,65.139999,65.183998,63.864780,2700
2021-09-10,65.180000,65.230003,64.662003,64.662003,63.353344,2600
2021-09-13,65.040001,65.040001,64.541000,64.806999,63.495407,6500
2021-09-14,65.050003,65.050003,64.300003,64.379997,63.077042,10700
2021-09-15,64.589996,64.973000,64.356003,64.973000,63.658043,4500
2021-09-16,64.940002,65.089996,64.599998,64.886002,63.572811,8000
2021-09-17,64.559998,64.559998,64.290001,64.337997,63.035892,6500
2021-09-20,63.570000,63.570000,62.529999,63.220001,61.940525,13200
2021-09-21,63.580002,63.719002,63.139999,63.237000,61.957180,6000
2021-09-22,63.910000,64.000000,63.674999,63.799999,62.508785,12200
2021-09-23,64.330002,64.764999,64.129997,64.557999,63.251442,7400
2021-09-24,64.550003,64.550003,64.293999,64.471001,63.331009,8500
2021-09-27,64.209999,64.480003,64.209999,64.309998,63.172859,8800
2021-09-28,63.980000,63.980000,62.889999,62.900002,61.787796,19700
2021-09-29,63.400002,63.400002,63.095001,63.110001,61.994080,4900
2021-09-30,63.439999,63.439999,62.431000,62.431000,61.327087,12400
2021-10-01,62.930000,63.369999,62.134998,63.139999,62.023548,14700
2021-10-04,62.880001,62.880001,62.020000,62.214001,61.113922,12700
2021-10-05,62.418999,63.270000,62.418999,62.944000,61.831017,9200
2021-10-06,62.810001,63.195000,62.109001,63.195000,62.077576,8400
2021-10-07,63.955002,64.120003,63.722000,63.722000,62.595257,9300
2021-10-08,64.125000,64.125000,63.653999,63.653999,62.528461,2700
2021-10-11,63.639999,63.742001,63.198002,63.198002,62.080521,3500
2021-10-12,63.599998,63.599998,63.000000,63.032001,61.917461,6900
2021-10-13,63.020000,63.216000,62.785000,63.216000,62.098202,3900
2021-10-14,63.900002,64.330002,63.900002,64.320000,63.182678,26100
2021-10-15,64.625999,64.860001,64.619003,64.773003,63.627674,4800
2021-10-18,64.660004,64.980003,64.660004,64.976997,63.828072,4400
2021-10-19,65.339996,65.480003,65.290001,65.470001,64.312355,20800
2021-10-20,65.625000,65.709999,65.570000,65.628998,64.468536,14300
2021-10-21,65.660004,65.769997,65.559998,65.768997,64.606056,5900
2021-10-22,65.879997,65.894997,65.535004,65.669998,64.508812,7300
2021-10-25,65.680000,66.010002,65.639999,65.836998,64.672859,9300
2021-10-26,66.269997,66.330002,65.980003,65.980003,64.813339,76600
2021-10-27,66.190002,66.190002,65.639000,65.639000,64.478371,8100
2021-10-28,65.974998,66.190002,65.970001,66.190002,65.019623,3200
2021-10-29,65.980003,66.335999,65.980003,66.335999,65.163033,5300
